Name,Gender,Age,Bio,Sharing Tolerance,Cooking Skill,Tidiness,Handiness,Consideration,Sociability,Party Stamina,Work Ethic
Adam,m,36,"A reliable presence in the commune; steady and self-driven; is friendly, but rarely joins in; also labels shelves and actually uses the labels.",4,9,16,11,12,6,10,17
Adrian,m,29,"A bit of an acquired taste, but useful; happy to share gear and leftovers; taps out early, reliably.",16,11,13,12,11,11,6,10
Alex,m,32,Brings a distinct energy to the house; notices moods and checks in early; needs quiet to reset; also fixes what breaks before anyone notices; but needs a lot of solo recharge time.,10,12,12,16,16,6,7,11
Amy,f,37,"Brings a distinct energy to the house; keeps the group chat alive; is weirdly energised by noise and lights; also works in bursts, not routines; but leaves a trail of mugs and laundry.",9,12,7,9,11,16,16,7
Anand,m,31,"Brings a distinct energy to the house; makes decisions with the group in mind; taps out early, reliably; also does small clean-ups before they become problems; but is allergic to all-nighters.",9,11,16,11,17,5,4,9
Andrew,m,45,Easy to live with on a good day; turns plans into checklists and outcomes; can be blunt without noticing; also can turn pantry scraps into a meal.,7,16,9,10,5,12,10,16
Andy,m,31,"A bit of an acquired taste, but useful; shares without keeping score; struggles with follow-through; also can't see mess until it's catastrophic.",16,9,6,10,9,9,11,6
Anna,f,35,Brings a distinct energy to the house; fixes what breaks before anyone notices; cannot do loud nights twice in a row; also keeps chats short and sweet.,11,11,12,16,13,6,5,12
Ashley,m,40,Brings a distinct energy to the house; finishes what they start; doesn't read the room very well; also cannot relax in a messy kitchen.,7,10,13,9,3,10,10,17
Brenton,m,27,"Low drama by default; always knows what everyone is up to; treats weeknights like weekends; also works in bursts, not routines; but leaves a trail of mugs and laundry.",12,12,5,13,9,16,16,7
Cass,f,38,Brings a distinct energy to the house; builds shelves for fun; is allergic to all-nighters; also keeps chats short and sweet.,13,11,12,18,11,6,4,12
Celine,f,29,"A bit of an acquired taste, but useful; happy to share gear and leftovers; needs quiet to reset; also cannot relax in a messy kitchen.",16,13,13,10,12,13,4,10
Chloe,f,29,"Mostly chill, until something crosses a line; can turn pantry scraps into a meal; starts clean-ups, rarely finishes them; also shares without keeping score.",16,17,6,12,11,11,9,6
Cli,f,33,"Tends to keep their head down; does small clean-ups before they become problems; needs quiet to reset; also shows up consistently, even for boring jobs.",13,11,16,10,12,9,6,16
Dan,m,33,"Mostly chill, until something crosses a line; fixes what breaks before anyone notices; avoids group debates; also notices moods and checks in early.",12,10,12,16,16,6,10,11
Debbie,f,28,Low drama by default; makes decisions with the group in mind; is allergic to all-nighters; also owns no tools and wants it that way.,10,10,11,4,17,10,6,12
Emily,f,37,Easy to live with on a good day; makes proper communal dinners; gets stressed when stuff is borrowed; also finishes what they start.,4,18,11,12,10,12,11,16
Fabien,m,27,"Low drama by default; shows up consistently, even for boring jobs; taps out early, reliably; also calls someone else when things break.",11,9,10,6,12,11,4,17
Florence,f,31,"Friendly in their own way; remembers everyone's preferences; cannot do loud nights twice in a row; also fixes what breaks before anyone notices; but starts clean-ups, rarely finishes them.",12,11,6,16,16,9,5,9
Florian,m,33,"Mostly chill, until something crosses a line; fixes what breaks before anyone notices; labels their food and means it; also struggles with follow-through.",4,12,11,16,10,12,11,6
George,m,31,"A reliable presence in the commune; does small clean-ups before they become problems; cannot do loud nights twice in a row; also works in bursts, not routines; but orders in before considering the fridge.",11,4,16,12,12,9,5,7
Georgia,f,37,Brings a distinct energy to the house; keeps the group chat alive; has a second wind at midnight; also procrastinates until it's urgent; but leaves a trail of mugs and laundry.,10,10,6,11,11,16,17,7
Hailey,f,37,Easy to live with on a good day; always knows what everyone is up to; treats weeknights like weekends; also procrastinates until it's urgent; but can't see mess until it's catastrophic.,12,10,6,10,12,17,16,7
Harri,m,31,"A bit of an acquired taste, but useful; fixes what breaks before anyone notices; needs clear boundaries around sharing; also cannot do loud nights twice in a row.",4,11,12,16,12,11,6,12
Henry,m,33,Low drama by default; keeps surfaces clear and systems tidy; orders in before considering the fridge; also finishes what they start.,12,6,17,11,10,9,12,16
Holly,f,28,Friendly in their own way; shares without keeping score; is allergic to all-nighters; also does small clean-ups before they become problems.,17,11,16,11,10,10,4,12
Irene,f,27,A reliable presence in the commune; remembers everyone's preferences; is allergic to all-nighters; also turns broken things into weekend projects.,11,11,10,16,16,10,6,12
Izzy,f,29,Brings a distinct energy to the house; keeps the group chat alive; has a second wind at midnight; also labels their food and means it.,4,10,11,12,12,17,16,12
Jack,m,38,Easy to live with on a good day; finishes what they start; labels their food and means it; also cannot relax in a messy kitchen.,4,12,16,11,10,10,12,17
Jade,f,31,A reliable presence in the commune; happy to share gear and leftovers; is allergic to all-nighters; also finishes what they start.,16,11,12,10,11,11,4,16
Jake,m,31,"Mostly chill, until something crosses a line; fixes what breaks before anyone notices; cannot do loud nights twice in a row; also turns plans into checklists and outcomes.",12,10,10,17,11,9,5,16
James,m,30,Friendly in their own way; turns plans into checklists and outcomes; survives on toast-level meals; also keeps surfaces clear and systems tidy.,11,4,16,12,11,10,12,17
Jelena,f,32,"Low drama by default; shows up consistently, even for boring jobs; is allergic to all-nighters; also owns no tools and wants it that way.",12,9,11,4,12,12,6,17
Josh,m,34,A reliable presence in the commune; fixes what breaks before anyone notices; is allergic to all-nighters; also keeps chats short and sweet.,12,10,10,16,11,6,5,12
Julia,f,36,"Mostly chill, until something crosses a line; remembers everyone's preferences; is allergic to all-nighters; also owns no tools and wants it that way.",12,12,11,4,16,11,6,11
Kat,f,27,Brings a distinct energy to the house; finishes what they start; gets stressed when stuff is borrowed; also cannot relax in a messy kitchen.,4,11,16,12,10,12,10,17
Katey,f,31,Easy to live with on a good day; fixes what breaks before anyone notices; treats cooking as optional; also keeps the group chat alive.,12,6,12,17,10,16,12,11
Kiara,f,36,Low drama by default; makes proper communal dinners; labels their food and means it; also cannot relax in a messy kitchen.,4,18,13,11,11,10,11,12
Lavinia,f,29,"Mostly chill, until something crosses a line; makes decisions with the group in mind; is allergic to all-nighters; also calls someone else when things break.",11,11,12,4,17,11,6,12
Lily,f,36,Brings a distinct energy to the house; shares without keeping score; cannot do loud nights twice in a row; also keeps surfaces clear and systems tidy.,17,10,16,10,12,11,5,11
Lindsey,f,34,"Easy to live with on a good day; keeps surfaces clear and systems tidy; treats cooking as optional; also shows up consistently, even for boring jobs.",12,6,16,11,11,11,10,17
Ludo,m,32,Low drama by default; always has the right tool; cannot do loud nights twice in a row; also keeps chats short and sweet.,11,9,10,16,12,6,5,11
Lynsey,f,30,"Friendly in their own way; shares without keeping score; taps out early, reliably; also does small clean-ups before they become problems.",17,10,16,11,10,10,4,12
Maggie,f,29,"Easy to live with on a good day; makes proper communal dinners; starts clean-ups, rarely finishes them; also shares without keeping score.",16,17,6,10,11,12,10,6
Marek,m,31,"Mostly chill, until something crosses a line; fixes what breaks before anyone notices; is allergic to all-nighters; also keeps chats short and sweet.",11,11,12,16,12,6,5,12
Maria,f,32,A reliable presence in the commune; makes proper communal dinners; needs clear boundaries around sharing; also finishes what they start.,4,17,11,12,10,11,10,16
Martin,m,29,"Tends to keep their head down; keeps surfaces clear and systems tidy; survives on toast-level meals; also shows up consistently, even for boring jobs.",12,4,17,12,10,12,12,16
Natalia,f,27,"Easy to live with on a good day; makes decisions with the group in mind; taps out early, reliably; also owns no tools and wants it that way.",12,11,11,4,16,12,6,10
Natalie,f,31,A reliable presence in the commune; cannot relax in a messy kitchen; is allergic to all-nighters; also shares without keeping score.,17,10,16,11,12,10,4,11
Niel,m,28,"A bit of an acquired taste, but useful; turns plans into checklists and outcomes; labels their food and means it; also keeps surfaces clear and systems tidy.",4,11,16,11,11,10,12,17
OBT,m,32,"Brings a distinct energy to the house; always knows what everyone is up to; survives on toast-level meals; also shows up consistently, even for boring jobs.",12,6,11,12,11,17,12,16
Paula,f,29,Low drama by default; makes decisions with the group in mind; is allergic to all-nighters; also keeps chats short and sweet.,11,10,11,10,17,6,5,12
Pauline,f,33,Friendly in their own way; keeps surfaces clear and systems tidy; treats cooking as optional; also keeps chats short and sweet.,12,6,16,11,11,6,10,12
Pegah,f,33,"Mostly chill, until something crosses a line; notices moods and checks in early; taps out early, reliably; also is scared of drills.",12,11,11,4,17,10,6,12
Rob,m,38,"A reliable presence in the commune; always has the right tool; cannot do loud nights twice in a row; also shows up consistently, even for boring jobs.",12,10,11,17,10,9,5,16
Rob Long,m,31,Low drama by default; fixes what breaks before anyone notices; is allergic to all-nighters; also finishes what they start.,12,10,11,16,10,10,6,17
Romy,f,32,"Mostly chill, until something crosses a line; keeps surfaces clear and systems tidy; orders in before considering the fridge; also shows up consistently, even for boring jobs.",11,6,17,11,10,10,12,16
Rory,m,28,"Brings a distinct energy to the house; always knows what everyone is up to; has a second wind at midnight; also works in bursts, not routines; but leaves a trail of mugs and laundry.",11,11,6,10,10,17,16,7
Ruben,m,37,Low drama by default; always has the right tool; cannot do loud nights twice in a row; also keeps chats short and sweet.,11,9,11,16,12,6,5,12
Sam,m,30,"A reliable presence in the commune; turns plans into checklists and outcomes; taps out early, reliably; also calls someone else when things break.",12,9,10,6,11,12,4,17
Saskia,f,31,Easy to live with on a good day; shares without keeping score; is allergic to all-nighters; also does small clean-ups before they become problems.,17,10,16,10,11,10,4,12
Scarlette,f,35,"Brings a distinct energy to the house; treats weeknights like weekends; can't see mess until it's catastrophic; also is friendly, but rarely joins in.",11,10,5,12,10,17,16,9
Sean,m,31,Friendly in their own way; fixes what breaks before anyone notices; cannot do loud nights twice in a row; also turns plans into checklists and outcomes.,11,11,10,17,10,9,5,16
Shane,m,31,"Mostly chill, until something crosses a line; makes friends in the hallway; treats cooking as optional; also shows up consistently, even for boring jobs.",11,6,10,11,10,16,12,16
Simon,m,27,"A reliable presence in the commune; shows up consistently, even for boring jobs; gets stressed when stuff is borrowed; also can barely assemble flat-pack.",4,10,10,6,11,12,11,17
Sophie,f,31,"Mostly chill, until something crosses a line; remembers everyone's preferences; is allergic to all-nighters; also calls someone else when things break.",10,11,10,4,16,12,6,12
Stacy,f,33,Brings a distinct energy to the house; keeps the group chat alive; has a second wind at midnight; also treats cooking as optional; but procrastinates until it's urgent.,11,6,10,10,10,16,17,7
Stephen,m,31,"Mostly chill, until something crosses a line; finishes what they start; taps out early, reliably; also owns no tools and wants it that way.",10,9,10,4,11,11,6,17
Steve,m,31,"Friendly in their own way; turns plans into checklists and outcomes; taps out early, reliably; also calls someone else when things break.",12,9,10,6,11,12,4,17
Tessa,f,27,"A bit of an acquired taste, but useful; keeps surfaces clear and systems tidy; is allergic to all-nighters; also needs clear boundaries around sharing.",4,10,17,10,10,9,5,12
Thabo,m,31,"Low drama by default; always has the right tool; taps out early, reliably; also labels their food and means it.",4,10,11,16,10,12,6,12
Theo,m,31,Easy to live with on a good day; makes proper communal dinners; gets stressed when stuff is borrowed; also cannot relax in a messy kitchen.,4,18,16,11,12,9,10,11
Tim,m,32,"A bit of an acquired taste, but useful; cannot relax in a messy kitchen; labels their food and means it; also remembers everyone's preferences.",13,11,16,11,18,3,7,11
Tom,m,41,Brings a distinct energy to the house; turns plans into checklists and outcomes; has a complicated relationship with pans; also always knows what everyone is up to.,12,6,12,12,11,16,9,16
Vera,f,34,Easy to live with on a good day; builds shelves for fun; is allergic to all-nighters; also steady and self-driven.,9,9,10,16,9,3,5,16
Will,m,44,A reliable presence in the commune; labels shelves and actually uses the labels; survives on toast-level meals.,13,4,19,13,11,13,13,12
