Name,Gender,Age,Bio,Sharing Tolerance,Cooking Skill,Tidiness,Handiness,Consideration,Sociability,Party Stamina,Work Ethic
Tim,m,34,"Product and growth operator; likes systems that actually work; friendly, but protective of focus time; quietly keeps the place running.",16,11,12,16,13,12,11,15
Celine,f,32,"Calm, competent, slightly intimidating in the best way; remembers birthdays; keeps conversations grounded; the person you want in any group decision.",13,12,12,11,16,13,11,13
Alex,m,32,"Charming chaos with a big heart; alternates between hyper-focus and disappearing into hobbies; good at rallying people, less good at admin.",12,11,10,10,12,14,18,10
Theo,m,30,"Quiet builder type; doesn’t say much, but always shows up; prefers practical solutions to big debates; steady energy, steady output.",12,11,12,13,16,10,11,14
Rob,m,34,"Mild-mannered, dependable, quietly funny; does the boring tasks without making it a thing; low drama, high reliability.",12,11,12,12,13,11,11,16
Cass,f,32,"Social glue with sharp opinions; will host dinner, mediate a spat, and then reorganise the pantry “because it was stressing me out”.",12,12,16,11,14,15,12,12
Niel,m,34,"Thoughtful introvert; reads, cooks simple meals, and notices problems early; prefers small groups; strong “quiet contribution” vibe.",13,12,12,11,14,10,10,15
Lily,f,32,"Warm, upbeat, slightly chaotic in a harmless way; loves shared rituals like Sunday brunch; surprisingly firm about house rules.",16,12,11,10,13,16,12,12
Scarlette,f,28,"Fashion and nightlife adjacent; brings energy and connections; hates being told what to do; great when the vibe is good, prickly when it’s not.",11,11,10,10,11,16,14,10
Dan,m,29,"Friendly generalist; will help with anything if you ask; not a self-starter, but very solid once pointed at a job; hates conflict.",12,11,11,12,13,12,12,13
Will,m,30,"Earnest, practical, a bit of a dad friend; likes schedules and early starts; will fix the thing, then write a checklist so it stays fixed.",12,11,12,12,14,11,11,16
Georgia,f,27,"Brilliant but messy; lives on takeaways and inspiration; fun to be around, unreliable with shared chores; good intentions, bad follow-through.",12,4,11,2,11,14,12,9
Jelena,f,30,"Former competitive athlete turned office worker; disciplined, direct, and weirdly soothing; treats communal life like a team sport.",13,11,13,12,13,11,12,15
Hailey,f,29,"Sunny extrovert with a social calendar for her social calendar; hosts themed nights; decent at chores, but only when the mood is right.",16,11,11,10,12,14,14,11
Katey,f,27,"Restless creative; allergic to routines; great company, but genuinely forgets chores exist; tries to make up for it with enthusiasm.",12,4,4,2,11,13,12,9
Cli,f,28,"Soft-spoken, observant, and unexpectedly funny; likes order, but not control; quietly nudges the house toward harmony.",12,12,13,11,14,12,11,13
Maria,f,29,"Competent, energetic, slightly competitive; wants the commune to “level up”; loves projects, hates dithering; will volunteer you by accident.",13,12,12,12,12,13,12,14
Paula,f,28,"Chill, friendly, and low-maintenance; joins in when invited; not especially ambitious; optimised for peace and snacks.",12,11,11,11,12,12,12,12
Kat,f,27,"Independent, blunt, and principled; doesn’t love sharing; will absolutely call out slack behaviour; secretly very loyal once she trusts you.",11,13,11,4,12,12,11,13
OBT,m,31,Hard-working networker; always “just hopping out”; likes the commune for momentum and people; reliable when there’s a clear goal.,12,11,11,11,12,15,13,13
